sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price
SO-10001,MTB-10,1001,20230115,20230118,20230125,750,1,750
SO-10002,HLM-01,1001,20230115,20230118,20230125,60,1,60
SO-10003,RDB-01,1002,20230120,20230122,20230130,1350,1,1350
SO-10004,GLV-01,1002,20230120,20230122,20230130,50,2,25
SO-10005,TRK-01,1003,20230205,20230208,20230215,1100,1,1100
SO-10006,BTL-01,1003,20230205,20230208,20230215,30,2,15
SO-10007,MTB-20,1004,20230214,20230217,20230224,950,1,950
SO-10008,PDL-01,1004,20230214,20230217,20230224,80,1,80
SO-10009,RDB-02,1005,20230302,20230305,20230312,850,1,850
SO-10010,LGT-01,1005,20230302,20230305,20230312,120,2,60
SO-10011,MTB-10,1006,20230318,20230321,20230328,750,1,750
SO-10012,HLM-01,1007,20230401,20230404,20230411,0,1,60
SO-10013,RDB-01,1008,20230415,20230418,20230425,1350,1,1350
SO-10014,WHL-01,1008,20230415,20230418,20230425,900,1,900
SO-10015,MTB-30,1009,20230501,20230505,20230512,1500,1,1500
SO-10016,GLV-01,1010,20230512,20230515,20230522,50,2,25
SO-10017,RDB-03,1011,20230601,20230604,20230611,1850,1,1850
SO-10018,PDL-01,1012,20230615,20230618,20230625,160,2,80
SO-10019,TRK-01,1013,20230702,20230705,20230712,1100,1,1100
SO-10020,BTL-01,1014,20230719,20230722,20230729,45,3,15
SO-10021,MTB-20,1015,20230805,20230809,20230816,950,1,950
SO-10022,LGT-01,1016,20230822,20230825,20230901,60,1,60
SO-10023,RDB-02,1017,20230901,20230904,20230911,850,1,850
SO-10024,CHN-01,1018,20230915,20230918,20230925,35,1,35
SO-10025,MTB-30,1019,20231002,20231006,20231013,1500,1,1500
SO-10026,HLM-01,1020,20231018,20231021,20231028,60,1,60
SO-10027,RDB-01,1001,20231105,20231108,20231115,1350,1,1350
SO-10028,WHL-01,1002,20231120,20231123,20231130,900,1,900
SO-10029,MTB-10,1003,20231201,20231204,20231211,750,1,750
SO-10030,RDB-03,1004,20231215,20231218,20231225,1850,1,1850
