cid,bdate,gen
NASC1001,1985-03-12,MALE
NASC1002,1990-07-22,FEMALE
C1003,1978-11-05,M
NASC1004,1995-02-18,F
NASC1005,1982-09-30,MALE
C1006,1989-12-14,FEMALE
NASC1007,1975-06-25,M
NASC1008,1992-04-03,F
C1009,1988-08-19,MALE
NASC1010,1994-10-11,FEMALE
NASC1011,1981-01-29,MALE
C1012,1996-05-16,FEMALE
NASC1013,1984-07-08,M
NASC1014,1991-09-21,F
C1015,1979-03-04,MALE
NASC1016,1993-11-27,FEMALE
NASC1017,1986-08-15,M
C1018,1997-02-10,F
NASC1019,1980-06-01,MALE
NASC1020,1998-12-05,FEMALE
NASC1099,2099-01-01,MALE
