prd_id,prd_key,prd_nm,prd_cost,prd_line,prd_start_dt,prd_end_dt
1,AC-HE-HLM-01,Sports Helmet Pro,25,S,2021-01-01,
2,AC-HE-HLM-01,Sports Helmet Pro v2,30,S,2023-01-01,
3,AC-GL-GLV-01,Pro Cycling Gloves,15,S,2022-03-01,
4,BI-MO-MTB-10,Apex Mountain Bike 29,450,M,2022-01-15,
5,BI-MO-MTB-20,Trail Ridge Mountain Bike,620,M,2022-05-10,
6,BI-RO-RDB-01,Velocita Road Bike Carbon,850,R,2022-02-01,
7,BI-RO-RDB-02,Strada Sprint Road Bike,540,R,2022-06-15,
8,BI-TO-TRK-01,Grand Tourer Touring Bike,710,T,2022-04-20,
9,CO-PD-PDL-01,Clipless Road Pedals,45,R,2022-07-01,
10,CO-CH-CHN-01,11-Speed Dura Chain,20,S,2022-08-15,
11,AC-BT-BTL-01,Thermal Water Bottle 750ml,8,S,2022-09-01,
12,AC-LG-LGT-01,High-Lumen Bike Light Set,35,S,2022-10-10,
13,BI-MO-MTB-30,Enduro X Extreme MTB,980,M,2023-02-01,
14,BI-RO-RDB-03,Aero Superleggera Bike,1200,R,2023-03-15,
15,CO-WH-WHL-01,Aero Carbon Wheelset 50mm,600,R,2023-04-01,
